ID,Name,Site,rotation,Soil,Position,Frost,Feeding,Companions,Spacing,Sow,Notes,Harvesting,Troubleshooting
217,Scallions,/plants/us-and-canada/how-to-grow-scallions/,Allium (Onion family) ●,"Any average, well drained soil.",Full sun to partial afternoon shade.,Many varieties are cold hardy to -10F (- 33C) when well rooted in the garden.,Work an organic fertilizer into the soil prior to setting out seedlings or sets.,"Beet, Lettuce, Potatoes, Thyme and Chives. Often planted with mound-forming herbs.","Single Plants: 3"" (10cm) each way (minimum)
Rows: 3"" (10cm) with 3"" (10cm) row gap (minimum)","Start seeds indoors in late winter to early spring when growing cold-hardy bunching varieties. Or, plant large sets close together and harvest the plants when young.  
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Any immature onion can be eaten as a green onion, or scallion.","Pull individual plants as you need them in the kitchen. With perennial bunching varieties, lift clumps in spring or fall and replant some of the divisions.",Slugs often chew holes in onion leaves in wet weather.
218,Scarlet Sage,/plants/us-and-canada/how-to-grow-scarlet-sage-salvia/,Miscellaneous ●,Any sunny site with good drainage.,Full sun to partial afternoon shade.,None. Scarlet sage cannot tolerate cold temperatures.,Mix a light application of a balanced organic fertilizer into the soil prior to planting.,"Catnip and Lavender. Mixes well with upright flowers or herbs, and the blossoms are much loved by hummingbirds.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","Scarlet sage needs warm soil to grow well, so wait until the last frost has passed to set out plants. Start seeds indoors in individual containers or set out purchased plants. Space plants 12 inches (30 cm) apart in all directions.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Pinching off the first bloom will encourage plants to grow into lush bushes bearing numerous flower spikes.,Gather stems to use in cut arrangements. Snip off old flowers every few weeks to keep plants in bloom all summer.,Scarlet sage has few problems with pests or diseases.  Newer named varieties are vigorous and very heavy blooming.
219,Scilla,/plants/us-and-canada/how-to-grow-scilla/,Miscellaneous ●,Average garden soil with excellent drainage.,"Full sun in late winter, partial shade in summer.",Excellent. Most scilla are hardy to -25F (-32C).,"Topdress with rich compost in spring, when new growth appears.",Crocus. Scilla is one of the best little bulbs to naturalize in grass beneath deciduous trees. Scatter them in small groups along a woodland edge. Scillas combine well with crocuses and early-blooming daffodils.,"Single Plants: 3"" (10cm) each way (minimum)
Rows: 3"" (10cm) with 3"" (10cm) row gap (minimum)","Set out dormant bulbs from late summer to early winter, planting them 4in (10cm) deep. Spacing can be as close as 2in (5cm) between scilla bulbs, which look best when planted in groups of seven or more.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Like crocuses, scilla are considered harbingers of spring. Expect scilla to spread when planted in a hospitable spot.","Seeds can be gathered and re-sown in early summer. Established clumps can be dug and moved in the fall, but are best left undisturbed.","Scilla needs a period of winter chilling, and will not persist long in warm climates."
220,Shallots,/plants/us-and-canada/how-to-grow-shallots/,Allium (Onion family) ●,"Fertile, well drained soil with compost dug in. In clay soil, use raised beds or rows.",Full sun.,Yes.,Not normally required.,"Beet, Chamomile, Carrot, Strawberry, Lettuce, Chinese Cabbage and Cabbage.","Single Plants: 5"" (15cm) each way (minimum)
Rows: 3"" (10cm) with 5"" (15cm) row gap (minimum)","Set individual cloves in prepared ground in the fall. They will root during the winter, and multiply into a cluster in late spring or early summer.  Alternatively, plant first thing in spring, or grow from seed and set out seedlings in early spring.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Used in place of onions for concentrated flavor.,"Harvest in early summer when the tops begin to fail, and the bulbs have divided into several plump bulblets. If storing shallots, cure in a dry place for 10 days after pulling the plants.",Onion root maggots can cause plants to collapse. Remove infested plants.
221,Snapdragon,/plants/us-and-canada/how-to-grow-snapdragon/,Miscellaneous ●,Fertile garden soil with excellent drainage.,Full sun.,"Good. Where winters are mild, well-rooted plants survive one winter and bloom heavily the following spring.",Encourage fast growth by mixing a balanced organic fertilizer into the soil before planting.,"Cosmos, Salvia and Celery. Upright and uniform, snapdragons make great accent plants when grown in groups. Try a snapdragon as the upright element in a mixed container.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","When starting snapdragon seeds indoors in late winter, barely cover the seeds with moist seed starting mix. Grow the seedlings under bright lights until they are large enough to transplant outdoors. Most gardeners save time by buying snapdragons as bedding plants.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Some varieties can grow tall enough to need staking. Colors include red, orange, yellow, violet, white, pink and many bicolors.","Snapdragons make wonderful cut flowers. Gather stems when two-thirds of the flowers on the spike have opened. As flowers fade outdoors, snip them off with scissors to encourage reblooming.","Especially in warm, wet weather, tired snapdragons may collapse from various root rot diseases."
222,Snowdrop,/plants/us-and-canada/how-to-grow-snowdrop/,Miscellaneous ●,"Moist, fertile garden soil.","Full sun in late winter, partial shade in summer.",Excellent. Snowdrops are hardy to -25F (-32C).,"Topdress with a balanced organic fertilizer in early spring, when new growth appears.","Crocus. Snowdrops naturalize well in light shade, and can be grown in lawns that are not mowed until late spring. Snowdrops combine well with crocuses, scillas, and early-blooming daffodils.","Single Plants: 3"" (10cm) each way (minimum)
Rows: 3"" (10cm) with 3"" (10cm) row gap (minimum)","Set out dormant bulbs from late summer to early winter, planting them 3in (8cm) deep.  Allow 4in (10cm) between bulbs. Over time they will fill in with seedlings and offsets. 
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Like crocuses, snowdrops are considered harbingers of spring, often blooming before the last snow. Expect snowdrops to spread when planted in a hospitable spot.","Seeds can be gathered and re-sown in early summer. Established clumps can be dug and moved in the fall, but are best left undisturbed.","Snowdrops need a period of winter chilling, and will not persist long in warm climates."
223,Sorrel,/plants/us-and-canada/how-to-grow-sorrel/,Miscellaneous ●,Any sunny site with good drainage.,Full sun.,"When established, this hardy perennial can tolerate winter temperatures to -20F (-29C).","Mix a light application of a balanced organic fertilizer into the soil prior to planting.  Each spring, mulch around the plant with rich compost.","Rosemary, Sage, Thyme and Pear. Rosemary, sage, and other perennial herbs.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","Sow in spring. Established plants can be dug and moved anytime as long as soil is kept packed around the roots. Start seeds indoors in individual containers, set out purchased plants, or direct-sow into warm soil.  Space plants 12 inches apart in all directions. Few gardeners need more than a few of these productive plants.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Pinch off blossom spikes to keep plants from reseeding in the garden, and to increase productivity. Young leaves that grow in cool weather have the mildest flavor.",Gather individual leaves as needed in the kitchen.,"For top productivity, replace plants every few years."
224,Soybeans,/plants/us-and-canada/how-to-grow-soybeans/,Legumes (Pea and Bean family) ●,"Any average, well drained soil.",Full sun.,No. Soybean is a warm-season crop to grow in summer.,"When using soybeans to improve very poor soil, mixing a balanced organic fertilizer into the soil before planting will give better results.",Buckwheat.,"Single Plants: 5"" (15cm) each way (minimum)
Rows: 5"" (15cm) with 5"" (15cm) row gap (minimum)","Plant seeds from late spring to early summer. Soybeans must have warm soil to germinate and grow.  Poke holes into a cultivated bed or row to plant soybean seeds about 2 inches (5 cm) apart and one-half inch (1 cm) deep. Thin to 6 inches (15 cm) apart in all directions.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Soybean cover crops are used primarily to add nitrogen to poor soil.,Chop down or pull up plants just as they begin to flower. Nitrogen nodules left behind in the soil add fertility.,Soybeans are very attractive to deer and Japanese beetles.
225,Spinach,/plants/us-and-canada/how-to-grow-spinach/,Chenopodiaceae (Beet family) ●,Rich soil that has been generously amended with fully composted manure or another high-nitrogen compost. Use raised beds in clay soil.,Sun to partial shade.,"Yes, survives winter with mulch in many climates.","Not needed for spring crops grown in rich soil, but older plants benefit from feeding with a liquid feed in spring, when they show vigorous new growth.","Cilantro, Celery, Cauliflower, Eggplant, Strawberry, Chinese Cabbage and Cabbage.","Single Plants: 7"" (20cm) each way (minimum)
Rows: 7"" (20cm) with 11"" (30cm) row gap (minimum)","Easy to grow from seeds sown in spring, one-half inch deep and 2 inches apart. Also can be started indoors and moved outside under cloches in early spring.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Keep well watered. Spinach grows tall and goes to seed when days become long and hot. Grow a second crop in the fall.,"Pick individual leaves, or allow plants to grow into dense, leafy rosettes.",Slow growth and yellowing leaves indicate nutritional stress. Drench with a water soluble plant food.
226,Spinach (Malabar),/plants/us-and-canada/how-to-grow-malabar-spinach/,Miscellaneous ●,"Any average, well drained soil.",Full sun to partial afternoon shade.,Malabar spinach is a tropical plant that tolerates neither frost nor cold soil.,Mix in a balanced organic fertilizer when preparing the planting site.,Asparagus. Malabar spinach is a vigorous climbing plant that needs a trellis or other support. It will quickly overtake other plants.,"Single Plants: 11"" (30cm) each way (minimum)
Rows: 9"" (25cm) with 1' 1"" (35cm) row gap (minimum)","Plant seeds in late spring, after the soil has warmed. In cool climates, you can give plants a two-week head start indoors. After the first season, look for volunteer seedlings and move them to where you want them to grow.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Malabar spinach is highly ornamental, and is easily trained up a trellis. Some varieties have red stems.   Malabar spinach is typically grown on a tower, fence or tepee style trellis.  Four trellised plants will occupy a space 18 inches (45 cm) square at maturity.","Clip leaves as you need them in the kitchen. When lightly steamed or stir-fried, the leaves resemble a cross between spinach and chard.","In the fall, gather up dead plants and compost them to limit reseeding in the garden. In some climates, Malabar spinach can become weedy."
227,Spinach (New Zealand),/plants/us-and-canada/how-to-grow-new-zealand-spinach/,Miscellaneous ●,"Well-drained, reasonably good soil, though will tolerate a variety of sites.",Sun or partial shade.,No.,Not required.,"Peas, Beans and Strawberry.","Single Plants: 1' 7"" (50cm) each way (minimum)
Rows: 1' 5"" (45cm) with 1' 11"" (60cm) row gap (minimum)","Sow under cover in late spring, planting out when all risk of frost past or direct into the soil from then onwards.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Requires very little attention.  Soak seeds in water overnight before planting to improve germination.,Pull a few leaves from the outside of the plant regularly from mid summer onwards to produce more growth.,< Back to All Plants
228,Squash (Summer),/plants/us-and-canada/how-to-grow-summer-squash/,Cucurbits (Squash family) ●,Well-drained soil enriched with plenty of compost.,Full sun.,Cannot tolerate frost.,Drench plants with a liquid fertilizer when they begin to blossom and set fruits.,"Corn, Nasturtium, Borage, Oregano, Marigold, Cucumber, Melon, Pumpkin and Lemon Balm.","Single Plants: 1' 11"" (60cm) each way (minimum)
Rows: 1' 11"" (60cm) with 1' 11"" (60cm) row gap (minimum)","Sow seeds 1 inch deep in spring, either in rows or hills. Also may be started from seedlings started indoors or purchased at stores.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Keep plantings small, to fewer than a dozen plants. Different types of summer squash help pollinate one another because they are of the same species.","Harvest summer squash when they are young and tender, before the rinds begin to harden. Use a knife to cut fruits from the plants.",Squash bugs and squash vine borers can be serious pests. Exclude them from young plantings with row covers.
229,Squash (Winter),/plants/us-and-canada/how-to-grow-winter-squash/,Cucurbits (Squash family) ●,Well-drained soil enriched with plenty of compost.,Full sun.,Cannot tolerate frost.,Drench plants with a liquid fertilizer when they begin to blossom and set fruits.,"Corn, Borage, Oregano, Marigold, Beans, Nasturtium and Lemon Balm.","Single Plants: 2' 11"" (90cm) each way (minimum)
Rows: 2' 11"" (90cm) with 2' 11"" (90cm) row gap (minimum)","Sow seeds 1 inch deep in late spring or early summer, either in rows or hills. Also may be started from seedlings started indoors or purchased at stores.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Some types grow to be large, long-vined plants, while others grow into compact bushes. Grow at the edge of your garden to save space.","Harvest winter squash when they plants begin to die back and the rinds cannot easily be pierced with your fingernail. Wipe clean, and store indoors at cool room temperatures.",Squash bugs and squash vine borers can be serious pests. Exclude them from young plantings with row covers. Butternuts naturally resist these pests.
230,Stevia,/plants/us-and-canada/how-to-grow-stevia/,Miscellaneous ●,"Any average, well drained soil.",Full sun to partial afternoon shade.,Stevia is a tender perennial grown as a vegetatively propagated annual. Parent plants brought through winter indoors provide rootable stems in spring.,"Not generally needed. If needed, a water soluble fertilizer can be provided in midsummer to invigorate plants.",Thyme and Marjoram. Stevia is an upright plant which goes with mound-forming herbs.,"Single Plants: 1' 1"" (35cm) each way (minimum)
Rows: 11"" (30cm) with 1' 3"" (40cm) row gap (minimum)","Start with a purchased plant, because stevia seeds are very reluctant to sprout. Plants are grown from rooted cuttings taken from greenhouse-grown plants.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Frequent pinching back helps to keep plants bushy and full, and it delays flowering.","Gather sprigs as needed in the kitchen. Gather stems for drying in midsummer, just before the plants bloom.","Stevia thrives in warm weather, and may grow slowly under very cool conditions."
231,Stock,/plants/us-and-canada/how-to-grow-stock/,Miscellaneous ●,Well-drained soil of good fertility.,Full sun.,"Good. Where winters are mild, well-rooted plants survive one winter and bloom heavily the following spring.","Mix a light application of a balanced organic fertilizer into the soil prior to planting.  In late spring, drench plants with a liquid fertilizer just before they come into bloom.","Stock is grown for its fragrance, so it is a good plant for containers or outdoor sitting areas.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","Sow stock seeds in midsummer to have seedlings to set out in early fall, or sow indoors in late winter and set plants out at about the time of your last spring frost.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Stock has a shorter bloom time than many other annuals, but it does quite well when handled as a hardy annual in cool maritime climates. Colors include white and many shades of pink.",Pinch plants every few weeks to keep them in bloom as long as possible. Gather blossoms to use as cut flowers just as they open.,Stock is not tolerant of hard freezes or humid heat. Fragrant stock grows best in cool climates.
232,Strawberry,/plants/us-and-canada/how-to-grow-strawberries/,Miscellaneous ●,"Well-drained, moderately acidic soil amended with compost.","Full sun in beds, partial shade in containers.","Winter hardy, though plants go dormant from late fall to early spring.","In fall and again in early spring, topdress established plants with rich compost or an organic fertilizer. Allow plants to rest in midsummer.","Beans, Lettuce, Spinach, Thyme, Onions and Nigella.","Single Plants: 1' 11"" (60cm) each way (minimum)
Rows: 1' 11"" (60cm) with 1' 11"" (60cm) row gap (minimum)","Set out plants in early spring, or in fall in mild winter areas. Take care not to bury the central crown when transplanting.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Can be used as a ground cover beneath grapes or blueberries, or managed as a perpetual bed. In late summer, remove weeds and withered leaves, and thin runners to no more than 3 per plant. Lift and transplant extra runners.","Gather ripe fruits in the morning, when they are cool, and refrigerate immediately. Wash in cool water just before eating.",Slugs can be deterred with straw mulch or traps. Use lightweight cloth or netting to protect ripening berries from birds.
233,Strawflower,/plants/us-and-canada/how-to-grow-strawflower/,Miscellaneous ●,"Fertile, well-drained soil.",Full sun.,None. Strawflowers grow best in warm weather.,"Mix a standard application of a balanced organic fertilizer into the soil prior to planting. In midsummer, drench plants with a liquid plant food to stimulate new growth.","Dianthus and Thyme. Strawflowers close at night and in rainy weather, so they are at their best in sunny beds seen during the day. Blue ageratum or airy nigella make excellent neighbors for strawflowers.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","Sow seeds indoors in late spring and set plants out after the last frost has passed. Seedlings are sometimes available as bedding plants.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Strawflowers are among the best annuals to grow and dry for use in winter arrangements. Colors include yellow, pink, orange, red and white, all with yellow-orange centers.",Cut blossoms as soon as they open and hang to dry in small bunches.,Choose tall varieties with long stems for drying. Persistent wet conditions can cause strawflowers to rot.
234,Sunflower,/plants/us-and-canada/how-to-grow-sunflowers/,Miscellaneous ●,Any sunny site with good drainage.,Full sun.,"Sunflower seedlings often escape damage from light frost, but sunflowers are warm-natured plants with no tolerance of freezing temperatures.",Mix a light application of a balanced organic fertilizer into the soil prior to planting.,"Beans, Squash, Pumpkin, Corn and Cucumber. A rare ""shelter"" plant, sunflowers can be used to create shade for sun-stressed crops. Tall varieties can serve as trellises for pole beans.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","Sow sunflowers from late spring to early summer. Where summers are long and warm, make a second sowing for autumn harvest.  Poke seeds into the soil about 1 inch (3 cm) deep and 3 inches (8 cm) apart. Thin to 12 inches (30 cm) apart in all directions for dwarf varieties. Extremely tall sunflowers or those that grow into multi-branched bushes may require 3 feet (1 meter) between plants.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Explore different sunflower varieties, which vary in size, color, growth habit, and the culinary quality of the seeds.","Cut sunflower heads when some of the seeds inside the edges appear ripe and fall away when rubbed, or when birds start harvesting them for you. Store in a warm, dry place.","Sunflowers will twist around to face the south or west, seeking the most abundant source of sun, which may be away from your garden."
235,Sweet Pea,/plants/us-and-canada/how-to-grow-sweet-pea/,Legumes (Pea and Bean family) ●,Well-drained soil of average fertility.,Full sun.,"Moderate. Young seedlings tolerate frost easily, but mature plants are damaged by freezing weather.","Mix a light application of a balanced organic fertilizer into the soil prior to planting.  In early summer, drench plants with a liquid fertilizer to prolong bloom time.","Beans. Sweet peas need a fence or other support, and you need easy access to cut blossoms for bouquets, so it is best not to crowd them with other plants. Small mound-forming annuals like sweet alyssum can be grown at the base of tall sweet peas.","Single Plants: 7"" (20cm) each way (minimum)
Rows: 7"" (20cm) with 7"" (20cm) row gap (minimum)","Before planting sweet pea seeds, nick the outer seed coat with nail clippers to help speed germination. Plant sweet peas in the fall in mild winter climates, or first thing in spring in other areas.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Sweet peas are a beautiful way to cover a chain link fence. Some varieties are much more fragrant than others. Colors include pink, white, red, purple, burgundy and many bicolors.",Clip stems for indoor arrangements when half the flowers are open. Snipping off old flowers will help prolong bloom time.,Pea aphids are common sweet pea pests that may require control with insecticidal soap.
236,Sweet Potato,/plants/us-and-canada/how-to-grow-sweet-potatoes/,Solanaceae (Potato and tomato family) ●,"Light, sandy soil best, but can adapt to any fertile, well drained soil.",Full sun.,No.,Mix a light application of a balanced organic fertilizer into the soil before planting.,"Beans, Strawberry, Parsnip, Nigella and Beet.","Single Plants: 1' 5"" (45cm) each way (minimum)
Rows: 1' 5"" (45cm) with 1' 11"" (60cm) row gap (minimum)","Plant 'slips' that grow from sprouting tubers in late spring or early summer, after the soil is very warm.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Sweet potatoes form a dense green ground cover under hot summer conditions. Tubers are often found 12 inches or more from the plant's primary crown, so dig carefully.  Although not from the solanaceae family, sweet potatoes are often placed in that group for crop rotation purposes because they share several important pests and diseases such as wireworms and nematodes which is why we show it as solanaceae.","Dig in fall when the soil is still warm. Cure in a warm, airy place for two weeks before storing at cool room temperatures.",Deer are fond of sweet potato vines.
237,Swiss Chard,/plants/us-and-canada/how-to-grow-swiss-chard/,Chenopodiaceae (Beet family) ●,"Rich, well drained soil that holds moisture well.",Sun or partial afternoon shade.,"Yes. With mulch, plants are hardy to about 20°F.",Not usually required is a mulch is used to keep soil moist.,"Chinese Cabbage, Cabbage, Beans, Onion and Onions.","Single Plants: 1' 1"" (35cm) each way (minimum)
Rows: 11"" (30cm) with 1' 3"" (40cm) row gap (minimum)","Sow direct into the ground in mid spring, and again in late summer for a fall crop. Sow seeds 4 inches apart, and thin to proper spacing. Can be started indoors if the roots are not disturbed as seedlings are transplanted.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Swiss chard is so beautiful that it should be grown where it is easily seen. A great vegetable for edible ornamental beds.,Twist leaves from the outside of the plant regularly from mid summer onwards. Plants regrow when cut back to 3 inches.,"Cutworms can girdle seedlings, so be watchful when growing chard in spots recently vacated by grass."
238,Tansy,/plants/us-and-canada/how-to-grow-tansy/,Miscellaneous ●,Well drained fertile soil.,Full sun to light shade.,This hardy perennial is winter hardy to -40F (-40C).,None generally needed.,Cabbage.,"Single Plants: 1' 5"" (45cm) each way (minimum)
Rows: 1' 3"" (40cm) with 2' 11"" (90cm) row gap (minimum)","Start with a purchased plant, or sow tansy from seed. These vigorous plants spread and reseed, so it is best to start with only one plant, and grow it as a managed clump. Locate in a spot where you can mow around the clump to further manage its spread.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Tansy is an eager spreader wherever it is grown, but it is such an aggressive reseeder in some climates that it is listed as a noxious weed. Growing tansy is prohibited in Colorado, Minnesota, Montana, Wyoming, and parts of the state of Washington, as well as the Alberta and British Columbia provinces in Canada.","Harvest leaves when needed, and expect flower clusters in late summer. Cut back plants close to the ground in early spring.","Tansy leaves can cause contact dermatitis in sensitive people, and the plants are poisonous to some animals when eaten."
239,Tarragon,/plants/us-and-canada/how-to-grow-tarragon/,Miscellaneous ●,"Fertile, well drained soil.","A sunny spot near the back or edge of a garden bed, because tarragon is a lanky plant.","A cold-hardy perennial, tarragon can survive temperatures to -20F (-30C).",Not usually required.,"Eggplant. Often planted with thyme and other low, mound-forming herbs.","Single Plants: 1' 3"" (40cm) each way (minimum)
Rows: 1' 3"" (40cm) with 1' 7"" (50cm) row gap (minimum)","Set out a purchased plant in late spring. The best strain, called French tarragon, is propagated exclusively by rooting cuttings. At maturity, tarragon will need a 3-foot (90 cm) square space.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Tarragon covers itself with yellow-orange blossoms in late summer.,"Gather stem tips as you need them in the kitchen. Tarragon can be dried, or you can use fresh tarragon to make flavored vinegars.",Tarragon has few problems with pests or diseases.
240,Tatsoi,/plants/us-and-canada/how-to-grow-tatsoi/,Brassicas (Cabbage family) ●,Any sunny site with good drainage.,Full sun.,"Tatsoi can tolerate light frost, but exposure to cold temperatures in spring can trigger early bolting. In fall, exposure to light frost can improve tatsoi's flavor.",Mix a light application of a balanced organic fertilizer into the soil prior to planting.,"Lettuce, Mizuna, Mustard, Endive and Johnny Jump Up. Also grown with other greens found in mesclun mixtures. In fall, tatsoi looks beautiful with pansies and parsley.","Single Plants: 7"" (20cm) each way (minimum)
Rows: 7"" (20cm) with 7"" (20cm) row gap (minimum)","Sow tatsoi in spring and again in late summer for harvest in fall. Sow in double rows, with rows spaced 10 inches (25 cm) apart. Plant seeds 2 inches (5 cm) apart and barely cover them with soil. Gradually thin to 8 inches (20 cm) apart.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",This beautiful little mustard cousin often grows better in fall than in spring.,"Gather individual leaves, or pull whole plants for use in the kitchen.","Flea beetles often chew small holes in tatsoi leaves in spring, but are less of a problem in the fall."
241,Thyme,/plants/us-and-canada/how-to-grow-thyme/,Miscellaneous ●,"Any average, well drained soil enriched with compost.",Full sun.,Very winter hardy. Becomes dormant from fall to spring.,Drench plants with a water soluble organic plant food one month after setting them out.,"Cabbage, Strawberry, Ageratum, Dianthus, Portulaca and Dahlia.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 1' 3"" (40cm) row gap (minimum)","Start with purchased plants, or start seeds indoors in early spring. Good culinary thyme can be grown from seed, but some creeping forms are propagated only from rooted cuttings or divisions.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Creeping forms make sturdy ground covers. Bees are attracted to pink thyme flowers.,"Gather sprigs as needed in the kitchen. Gather stems for drying in summer, before the plants bloom.","Plants are often short-lived, so root a few stem cuttings each spring to always have vigorous young plants."
242,Tomatillo,/plants/us-and-canada/how-to-grow-tomatillos/,Solanaceae (Potato and tomato family) ●,Average garden soil.,Full sun.,None. Tomatillos are tropical plants that require warm conditions.,Mix a balanced organic fertilizer into the soil before planting.,"Corn and Sunflower. Depending on climate and soil, plants can grow up to 4 feet (1.3 m) tall and wide.","Single Plants: 2' 11"" (90cm) each way (minimum)
Rows: 2' 11"" (90cm) with 2' 11"" (90cm) row gap (minimum)","Start seeds indoors in late spring and set seedlings out after the last frost has passed and the soil is warm.  Set plants about 3 feet (1 m) apart. Grow at least two plants, spaced close together, to insure good pollination.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Tomatillos can reseed if allowed to do so, but extra seedlings are easy to lift and move or pull out.","After the outer husks of some fruit turn from green to tan, look for ripe tomatillos that have fallen to the ground. Gather and store in the refrigerator for up to two weeks.  Wash before cooking to remove sticky residue.",Plants sometimes wait until late in the season to bear an abundance of fruits. Slightly green (immature) tomatillos have the tart citrus flavor most people prefer.
243,Tomato (Large),/plants/us-and-canada/how-to-grow-tomatoes/,Solanaceae (Potato and tomato family) ●,Rich soil with plenty of compost mixed in before planting.,Full sun.,No.,Weekly liquid feed or seaweed drench from mid summer onwards.,"Marigold, Broccoli, Chives, Mint, Borage, Parsley, Basil, Pepper, Asparagus, Monarda, Lettuce, Garlic, Dill and Calendula.","Single Plants: 1' 7"" (50cm) each way (minimum)
Rows: 1' 5"" (45cm) with 1' 11"" (60cm) row gap (minimum)","Start seedlings indoors or start with purchased plants. Set out after the last frost has passed, when the soil is warm and settled.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Bushy determinate plants can be tied to stakes, but long-bearing indeterminate varieties need a sturdy cage or trellis.",Pick regularly as soon as the fruits turn color but are still firm. Store at room temperature.,"Watch for leaf-eating tomato hornworms, and pick them off. Black patches on the bottom of fruits are a nutritional disorder best prevented by growing tomatoes in well-prepared soil with constant light moisture."
244,Tomato (Small),/plants/us-and-canada/how-to-grow-cherry-tomatoes/,Solanaceae (Potato and tomato family) ●,Rich soil with plenty of compost mixed in before planting.,Full sun.,No.,Weekly liquid feed or seaweed drench from mid summer onwards.,"Nasturtium, Asparagus, Carrot, Celery, Cucumber, Onion, Onions, Chives, Marigold, Basil, Borage, Monarda, Mint, Dill and Calendula.","Single Plants: 1' 7"" (50cm) each way (minimum)
Rows: 1' 5"" (45cm) with 1' 11"" (60cm) row gap (minimum)","Start seedlings indoors or start with purchased plants. Set out after the last frost has passed, when the soil is warm and settled.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Bushy determinate plants can be tied to stakes, but long-bearing indeterminate varieties need a sturdy cage or trellis.",Pick regularly as soon as the fruits turn color but are still firm. Store at room temperature.,"Watch for leaf-eating tomato hornworms, and pick them off. Black patches on the bottom of fruits are a nutritional disorder best prevented by growing tomatoes in well-prepared soil with constant light moisture."
245,Tree (Large),/plants/us-and-canada/how-to-grow-large-trees/,Miscellaneous ●,Almost any soil,Depends on variety.,Yes.,Not required.,"Single Plants: 13' 1"" (4.00m) each way (minimum)
Rows: 13' 1"" (4.00m) with 13' 1"" (4.00m) row gap (minimum)","Large trees are usually already well established
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Prune towards the end of the season to remove any dead or overcrowded branches.,-,< Back to All Plants,
246,Tree (Small),/plants/us-and-canada/how-to-grow-small-trees/,Miscellaneous ●,Prepare a large hole by breaking up the soil and adding plenty of compost or other organic matter,Depends on variety.,Yes.,"Not required, unless closely spaced or just planted.","Single Plants: 8' 2"" (2.50m) each way (minimum)
Rows: 8' 2"" (2.50m) with 8' 2"" (2.50m) row gap (minimum)","Plant in mid fall or early winter when it's not too cold for a little root growth to help them establish.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Prune towards the end of the season to remove any dead or overcrowded branches and to shape if required.,-,< Back to All Plants,
